Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
French Guiana,Americas,16529,5533.98,73,24.44,73,83,27.79,3,1,3,Community transmission
Mayotte,Africa,15365,5632.02,2663,976.12,873,92,33.72,20,7.33,3,Community transmission
Guinea,Africa,15216,115.86,356,2.71,62,86,0.65,2,0.02,1,Community transmission
Syrian Arab Republic,Eastern Mediterranean,15094,86.25,329,1.88,49,994,5.68,23,0.13,4,Community transmission
Cabo Verde,Africa,14948,2688.55,301,54.14,63,142,25.54,3,0.54,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Gabon,Africa,13553,608.92,1382,62.09,446,75,3.37,4,0.18,0,Community transmission
Haiti,Americas,12254,107.47,238,2.09,48,247,2.17,1,0.01,0,Community transmission
Belize,Americas,12207,3069.95,93,23.39,12,314,78.97,1,0.25,0,Community transmission
Burkina Faso,Africa,11763,56.27,225,1.08,60,139,0.66,2,0.01,0,Community transmission
Réunion,Africa,11562,1291.39,655,73.16,0,48,5.36,1,0.11,0,Community transmission
Andorra,Europe,10645,13777.26,218,282.15,35,107,138.48,1,1.29,0,Community transmission
Lesotho,Africa,10455,488.04,603,28.15,0,285,13.3,60,2.8,0,Community transmission
Guadeloupe,Americas,9455,2363.02,153,38.24,0,160,39.99,1,0.25,0,Community transmission
Suriname,Americas,8838,1506.57,73,12.44,6,168,28.64,2,0.34,0,Community transmission
Congo,Africa,8419,152.57,0,0,0,123,2.23,0,0,0,Community transmission
Bahamas,Americas,8403,2136.84,44,11.19,0,179,45.52,0,0,0,Clusters of cases
Guyana,Americas,8338,1060.07,203,25.81,25,189,24.03,5,0.64,0,Clusters of cases
Mali,Africa,8260,40.79,42,0.21,4,344,1.7,4,0.02,2,Community transmission
Trinidad and Tobago,Americas,7666,547.77,34,2.43,3,138,9.86,2,0.14,0,Community transmission
Aruba,Americas,7553,7074.35,215,201.37,40,70,65.56,2,1.87,1,Community transmission
Guam,Western Pacific,7506,4447.34,25,14.81,9,130,77.03,0,0,0,Clusters of cases
Martinique,Americas,6593,1756.89,72,19.19,0,45,11.99,0,0,0,Community transmission
South Sudan,Africa,6277,56.08,1143,10.21,193,83,0.74,11,0.1,0,Community transmission
Togo,Africa,6182,74.67,495,5.98,97,81,0.98,1,0.01,0,Community transmission
Iceland,Europe,6045,1771.46,12,3.52,1,29,8.5,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,6022,609.51,55,5.57,14,63,6.38,0,0,0,Sporadic cases
Equatorial Guinea,Africa,5747,409.63,84,5.99,0,88,6.27,1,0.07,0,Community transmission
Somalia,Eastern Mediterranean,5632,35.44,557,3.5,0,179,1.13,33,0.21,0,Community transmission
Benin,Africa,5143,42.42,583,4.81,0,65,0.54,9,0.07,0,Community transmission
Nicaragua,Americas,5106,77.08,42,0.63,0,172,2.6,1,0.02,0,Community transmission
Central African Republic,Africa,4996,103.44,0,0,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4725,19.52,47,0.19,7,170,0.7,1,0,0,Community transmission
Curaçao,Americas,4666,2843.51,33,20.11,8,22,13.41,0,0,0,Community transmission
Gambia,Africa,4510,186.62,208,8.61,0,139,5.75,4,0.17,0,Community transmission
Gibraltar,Europe,4227,12546.38,24,71.24,1,88,261.2,5,14.84,1,Clusters of cases
Sierra Leone,Africa,3841,48.15,24,0.3,12,79,0.99,0,0,0,Community transmission
Chad,Africa,3776,22.99,179,1.09,25,132,0.8,5,0.03,0,Community transmission
Comoros,Africa,3473,399.38,183,21.04,15,142,16.33,17,1.95,4,Community transmission
San Marino,Europe,3440,10136.13,162,477.34,20,72,212.15,0,0,0,Community transmission
Jersey,Europe,3208,2948.53,17,15.63,1,68,62.5,1,0.92,0,Community transmission
Guinea-Bissau,Africa,3064,155.69,195,9.91,39,46,2.34,0,0,0,Community transmission
Eritrea,Africa,2685,75.71,256,7.22,10,7,0.2,0,0,0,Community transmission
Barbados,Americas,2647,921.1,743,258.55,39,29,10.09,8,2.78,0,Community transmission
Saint Lucia,Americas,2620,1426.81,205,111.64,0,25,13.61,3,1.63,0,Community transmission
Liechtenstein,Europe,2617,6862.1,5,13.11,0,52,136.35,0,0,0,Sporadic cases
United States Virgin Islands,Americas,2565,2456.31,41,39.26,7,25,23.94,0,0,0,Community transmission
Mongolia,Western Pacific,2551,77.81,304,9.27,58,2,0.06,0,0,0,Clusters of cases
Viet Nam,Western Pacific,2362,2.43,220,0.23,15,35,0.04,0,0,0,Clusters of cases
Seychelles,Africa,2264,2302.05,462,469.77,0,10,10.17,3,3.05,0,Community transmission
Yemen,Eastern Mediterranean,2161,7.25,21,0.07,3,619,2.08,2,0.01,0,Community transmission
Sint Maarten,Americas,2027,4726.93,42,97.94,14,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,1994,41.35,23,0.48,2,26,0.54,1,0.02,0,Clusters of cases
Liberia,Africa,1988,39.31,19,0.38,3,85,1.68,1,0.02,0,Community transmission
Turks and Caicos Islands,Americas,1984,5124.23,172,444.24,56,13,33.58,1,2.58,0,Clusters of cases
Burundi,Africa,1983,16.68,159,1.34,28,3,0.03,0,0,0,Community transmission
Monaco,Europe,1844,4698.81,92,234.43,9,22,56.06,1,2.55,0,Sporadic cases
Sao Tome and Principe,Africa,1578,720.03,100,45.63,30,20,9.13,1,0.46,0,Community transmission
Saint Vincent and the Grenadines,Americas,1494,1346.67,99,89.24,20,6,5.41,0,0,0,Community transmission
Saint Martin,Americas,1456,3766.26,79,204.35,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,970,10.84,48,0.54,9,10,0.11,0,0,0,Community transmission
Bhutan,South-East Asia,866,112.23,3,0.39,0,1,0.13,0,0,0,Clusters of cases
Guernsey,Europe,808,1278.56,38,60.13,2,14,22.15,1,1.58,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,699,1122.48,5,8.03,2,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,658,1346.57,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,603,47.41,8,0.63,0,10,0.79,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,548,559.59,167,170.53,23,10,10.21,1,1.02,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cambodia,Western Pacific,484,2.89,5,0.03,0,0,0,0,0,0,Sporadic cases
Saint Barthélemy,Americas,475,4805.26,50,505.82,0,0,0,0,0,0,Clusters of cases
Isle of Man,Europe,444,522.16,8,9.41,7,25,29.4,0,0,0,No cases
Cayman Islands,Americas,425,646.68,14,21.3,6,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,387,1850.35,15,71.72,6,4,19.13,0,0,0,Community transmission
Brunei Darussalam,Western Pacific,185,42.29,1,0.23,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,153,506,2,6.61,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,135,234.55,1,1.74,0,2,3.47,0,0,0,Pending
Dominica,Americas,134,186.13,13,18.06,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,103,7.81,2,0.15,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,56,6.25,0,0,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,55,19.26,3,1.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,49,1406.83,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,1,1.88,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,1,20,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,1,0.5,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
