"ibge","municipio","latitude","longitude","cod_estado","estado","uf","regiao","capital"
320013,"Águia Branca",-18.9846,-40.7437,32,"Espírito Santo","ES","Sudeste",0
250020,"Aguiar",-7.0918,-38.1681,25,"Paraíba","PB","Nordeste",0
170030,"Aguiarnópolis",-6.55409,-47.4702,17,"Tocantins","TO","Norte",0
310110,"Aimorés",-19.5007,-41.0746,31,"Minas Gerais","MG","Sudeste",0
290060,"Aiquara",-14.1269,-39.8937,29,"Bahia","BA","Nordeste",0
230040,"Aiuaba",-6.57122,-40.1178,23,"Ceará","CE","Nordeste",0
310120,"Aiuruoca",-21.9736,-44.6042,31,"Minas Gerais","MG","Sudeste",0
430020,"Ajuricaba",-28.2342,-53.7757,43,"Rio Grande do Sul","RS","Sul",0
310130,"Alagoa",-22.171,-44.6413,31,"Minas Gerais","MG","Sudeste",0
250030,"Alagoa Grande",-7.03943,-35.6206,25,"Paraíba","PB","Nordeste",0
250040,"Alagoa Nova",-7.05377,-35.7591,25,"Paraíba","PB","Nordeste",0
250050,"Alagoinha",-6.94657,-35.5332,25,"Paraíba","PB","Nordeste",0
260060,"Alagoinha",-8.4665,-36.7788,26,"Pernambuco","PE","Nordeste",0
220025,"Alagoinha do Piauí",-7.00039,-40.9282,22,"Piauí","PI","Nordeste",0
290070,"Alagoinhas",-12.1335,-38.4208,29,"Bahia","BA","Nordeste",0
350075,"Alambari",-23.5503,-47.898,35,"São Paulo","SP","Sudeste",0
310140,"Albertina",-22.2018,-46.6139,31,"Minas Gerais","MG","Sudeste",0
210020,"Alcântara",-2.39574,-44.4062,21,"Maranhão","MA","Nordeste",0
230050,"Alcântaras",-3.58537,-40.5479,23,"Ceará","CE","Nordeste",0
250053,"Alcantil",-7.73668,-36.0511,25,"Paraíba","PB","Nordeste",0
500025,"Alcinópolis",-18.3255,-53.7042,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
290080,"Alcobaça",-17.5195,-39.2036,29,"Bahia","BA","Nordeste",0
210030,"Aldeias Altas",-4.62621,-43.4689,21,"Maranhão","MA","Nordeste",0
430030,"Alecrim",-27.6579,-54.7649,43,"Rio Grande do Sul","RS","Sul",0
320020,"Alegre",-20.758,-41.5382,32,"Espírito Santo","ES","Sudeste",0
430040,"Alegrete",-29.7902,-55.7949,43,"Rio Grande do Sul","RS","Sul",0
220027,"Alegrete do Piauí",-7.24196,-40.8566,22,"Piauí","PI","Nordeste",0
430045,"Alegria",-27.8345,-54.0557,43,"Rio Grande do Sul","RS","Sul",0
310150,"Além Paraíba",-21.8797,-42.7176,31,"Minas Gerais","MG","Sudeste",0
150040,"Alenquer",-1.94623,-54.7384,15,"Pará","PA","Norte",0
240050,"Alexandria",-6.40533,-38.0142,24,"Rio Grande do Norte","RN","Nordeste",0
520030,"Alexânia",-16.0834,-48.5076,52,"Goiás","GO","Centro-Oeste",0
310160,"Alfenas",-21.4256,-45.9477,31,"Minas Gerais","MG","Sudeste",0
320030,"Alfredo Chaves",-20.6396,-40.7543,32,"Espírito Santo","ES","Sudeste",0
350080,"Alfredo Marcondes",-21.9527,-51.414,35,"São Paulo","SP","Sudeste",0
310163,"Alfredo Vasconcelos",-21.1535,-43.7718,31,"Minas Gerais","MG","Sudeste",0
420070,"Alfredo Wagner",-27.7001,-49.3273,42,"Santa Catarina","SC","Sul",0
250057,"Algodão de Jandaíra",-6.89292,-36.0129,25,"Paraíba","PB","Nordeste",0
250060,"Alhandra",-7.42977,-34.9057,25,"Paraíba","PB","Nordeste",0
260070,"Aliança",-7.60398,-35.2227,26,"Pernambuco","PE","Nordeste",0
170035,"Aliança do Tocantins",-11.3056,-48.9361,17,"Tocantins","TO","Norte",0
290090,"Almadina",-14.7089,-39.6415,29,"Bahia","BA","Nordeste",0
170040,"Almas",-11.5706,-47.1792,17,"Tocantins","TO","Norte",0
150050,"Almeirim",-1.52904,-52.5788,15,"Pará","PA","Norte",0
310170,"Almenara",-16.1785,-40.6942,31,"Minas Gerais","MG","Sudeste",0
240060,"Almino Afonso",-6.1475,-37.7636,24,"Rio Grande do Norte","RN","Nordeste",0
410040,"Almirante Tamandaré",-25.3188,-49.3037,41,"Paraná","PR","Sul",0
430047,"Almirante Tamandaré do Sul",-28.1149,-52.9142,43,"Rio Grande do Sul","RS","Sul",0
520050,"Aloândia",-17.7292,-49.4769,52,"Goiás","GO","Centro-Oeste",0
310180,"Alpercata",-18.974,-41.97,31,"Minas Gerais","MG","Sudeste",0
430050,"Alpestre",-27.2502,-53.0341,43,"Rio Grande do Sul","RS","Sul",0
310190,"Alpinópolis",-20.8631,-46.3878,31,"Minas Gerais","MG","Sudeste",0
510025,"Alta Floresta",-9.86674,-56.0867,51,"Mato Grosso","MT","Centro-Oeste",0
110001,"Alta Floresta D'Oeste",-11.9283,-61.9953,11,"Rondônia","RO","Norte",0
350090,"Altair",-20.5242,-49.0571,35,"São Paulo","SP","Sudeste",0
150060,"Altamira",-3.20407,-52.21,15,"Pará","PA","Norte",0
210040,"Altamira do Maranhão",-4.16598,-45.4706,21,"Maranhão","MA","Nordeste",0
410045,"Altamira do Paraná",-24.7983,-52.7128,41,"Paraná","PR","Sul",0
230060,"Altaneira",-6.99837,-39.7356,23,"Ceará","CE","Nordeste",0
310200,"Alterosa",-21.2488,-46.1387,31,"Minas Gerais","MG","Sudeste",0
260080,"Altinho",-8.48482,-36.0644,26,"Pernambuco","PE","Nordeste",0
350100,"Altinópolis",-21.0214,-47.3712,35,"São Paulo","SP","Sudeste",0
140005,"Alto Alegre",2.98858,-61.3072,14,"Roraima","RR","Norte",0
350110,"Alto Alegre",-21.5811,-50.168,35,"São Paulo","SP","Sudeste",0
430055,"Alto Alegre",-28.7769,-52.9893,43,"Rio Grande do Sul","RS","Sul",0
210043,"Alto Alegre do Maranhão",-4.213,-44.446,21,"Maranhão","MA","Nordeste",0
210047,"Alto Alegre do Pindaré",-3.66689,-45.8421,21,"Maranhão","MA","Nordeste",0
110037,"Alto Alegre dos Parecis",-12.132,-61.835,11,"Rondônia","RO","Norte",0
510030,"Alto Araguaia",-17.3153,-53.2181,51,"Mato Grosso","MT","Centro-Oeste",0
420075,"Alto Bela Vista",-27.4333,-51.9044,42,"Santa Catarina","SC","Sul",0
510035,"Alto Boa Vista",-11.6732,-51.3883,51,"Mato Grosso","MT","Centro-Oeste",0
310205,"Alto Caparaó",-20.431,-41.8738,31,"Minas Gerais","MG","Sudeste",0
240070,"Alto do Rodrigues",-5.28186,-36.75,24,"Rio Grande do Norte","RN","Nordeste",0
430057,"Alto Feliz",-29.3919,-51.3123,43,"Rio Grande do Sul","RS","Sul",0
510040,"Alto Garças",-16.9462,-53.5272,51,"Mato Grosso","MT","Centro-Oeste",0
520055,"Alto Horizonte",-14.1978,-49.3378,52,"Goiás","GO","Centro-Oeste",0
315350,"Alto Jequitibá",-20.4208,-41.967,31,"Minas Gerais","MG","Sudeste",0
220030,"Alto Longá",-5.25634,-42.2096,22,"Piauí","PI","Nordeste",0
510050,"Alto Paraguai",-14.5137,-56.4776,51,"Mato Grosso","MT","Centro-Oeste",0
110040,"Alto Paraíso",-9.71429,-63.3188,11,"Rondônia","RO","Norte",0
412862,"Alto Paraíso",-26.1146,-52.7469,41,"Paraná","PR","Sul",0
520060,"Alto Paraíso de Goiás",-14.1305,-47.51,52,"Goiás","GO","Centro-Oeste",0
410060,"Alto Paraná",-23.1312,-52.3189,41,"Paraná","PR","Sul",0
210050,"Alto Parnaíba",-9.10273,-45.9303,21,"Maranhão","MA","Nordeste",0
410070,"Alto Piquiri",-24.0224,-53.44,41,"Paraná","PR","Sul",0
310210,"Alto Rio Doce",-21.0281,-43.4067,31,"Minas Gerais","MG","Sudeste",0
320035,"Alto Rio Novo",-19.0618,-41.0209,32,"Espírito Santo","ES","Sudeste",0
230070,"Alto Santo",-5.50894,-38.2743,23,"Ceará","CE","Nordeste",0
510060,"Alto Taquari",-17.8241,-53.2792,51,"Mato Grosso","MT","Centro-Oeste",0
410050,"Altônia",-23.8759,-53.8958,41,"Paraná","PR","Sul",0
220040,"Altos",-5.03888,-42.4612,22,"Piauí","PI","Nordeste",0
350115,"Alumínio",-23.5306,-47.2546,35,"São Paulo","SP","Sudeste",0
130002,"Alvarães",-3.22727,-64.8007,13,"Amazonas","AM","Norte",0
310220,"Alvarenga",-19.4174,-41.7317,31,"Minas Gerais","MG","Sudeste",0
350120,"Álvares Florence",-20.3203,-49.9141,35,"São Paulo","SP","Sudeste",0
350130,"Álvares Machado",-22.0764,-51.4722,35,"São Paulo","SP","Sudeste",0
350140,"Álvaro de Carvalho",-22.0841,-49.719,35,"São Paulo","SP","Sudeste",0
350150,"Alvinlândia",-22.4435,-49.7623,35,"São Paulo","SP","Sudeste",0
310230,"Alvinópolis",-20.1098,-43.0535,31,"Minas Gerais","MG","Sudeste",0
170070,"Alvorada",-12.4785,-49.1249,17,"Tocantins","TO","Norte",0
430060,"Alvorada",-29.9914,-51.0809,43,"Rio Grande do Sul","RS","Sul",0
110034,"Alvorada D'Oeste",-11.3463,-62.2847,11,"Rondônia","RO","Norte",0
310240,"Alvorada de Minas",-18.7334,-43.3638,31,"Minas Gerais","MG","Sudeste",0
220045,"Alvorada do Gurguéia",-8.42418,-43.777,22,"Piauí","PI","Nordeste",0
520080,"Alvorada do Norte",-14.4797,-46.491,52,"Goiás","GO","Centro-Oeste",0
410080,"Alvorada do Sul",-22.7813,-51.2297,41,"Paraná","PR","Sul",0
140002,"Amajari",3.64571,-61.3692,14,"Roraima","RR","Norte",0
500060,"Amambai",-23.1058,-55.2253,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
160010,"Amapá",2.05267,-50.7957,16,"Amapá","AP","Norte",0
210055,"Amapá do Maranhão",-1.67524,-46.0024,21,"Maranhão","MA","Nordeste",0
410090,"Amaporã",-23.0943,-52.7866,41,"Paraná","PR","Sul",0
260090,"Amaraji",-8.37691,-35.4501,26,"Pernambuco","PE","Nordeste",0
430063,"Amaral Ferrador",-30.8756,-52.2509,43,"Rio Grande do Sul","RS","Sul",0
520082,"Amaralina",-13.9236,-49.2962,52,"Goiás","GO","Centro-Oeste",0
220050,"Amarante",-6.24304,-42.8433,22,"Piauí","PI","Nordeste",0
210060,"Amarante do Maranhão",-5.56913,-46.7473,21,"Maranhão","MA","Nordeste",0
290100,"Amargosa",-13.0215,-39.602,29,"Bahia","BA","Nordeste",0
130006,"Amaturá",-3.37455,-68.2005,13,"Amazonas","AM","Norte",0
290110,"Amélia Rodrigues",-12.3914,-38.7563,29,"Bahia","BA","Nordeste",0
290115,"América Dourada",-11.4429,-41.439,29,"Bahia","BA","Nordeste",0
350160,"Americana",-22.7374,-47.3331,35,"São Paulo","SP","Sudeste",0
520085,"Americano do Brasil",-16.2514,-49.9831,52,"Goiás","GO","Centro-Oeste",0
350170,"Américo Brasiliense",-21.7288,-48.1147,35,"São Paulo","SP","Sudeste",0
350180,"Américo de Campos",-20.2985,-49.7359,35,"São Paulo","SP","Sudeste",0
430064,"Ametista do Sul",-27.3607,-53.183,43,"Rio Grande do Sul","RS","Sul",0
230075,"Amontada",-3.36017,-39.8288,23,"Ceará","CE","Nordeste",0
520090,"Amorinópolis",-16.6151,-51.0919,52,"Goiás","GO","Centro-Oeste",0
250073,"Amparo",-7.55502,-37.0628,25,"Paraíba","PB","Nordeste",0
350190,"Amparo",-22.7088,-46.772,35,"São Paulo","SP","Sudeste",0
280010,"Amparo de São Francisco",-10.1348,-36.935,28,"Sergipe","SE","Nordeste",0
310250,"Amparo do Serra",-20.5051,-42.8009,31,"Minas Gerais","MG","Sudeste",0
410100,"Ampére",-25.9168,-53.4686,41,"Paraná","PR","Sul",0
270020,"Anadia",-9.68489,-36.3078,27,"Alagoas","AL","Nordeste",0
290120,"Anagé",-14.6151,-41.1356,29,"Bahia","BA","Nordeste",0
410105,"Anahy",-24.6449,-53.1332,41,"Paraná","PR","Sul",0
150070,"Anajás",-0.996811,-49.9354,15,"Pará","PA","Norte",0
210070,"Anajatuba",-3.26269,-44.6126,21,"Maranhão","MA","Nordeste",0
350200,"Analândia",-22.1289,-47.6619,35,"São Paulo","SP","Sudeste",0
130008,"Anamã",-3.56697,-61.3963,13,"Amazonas","AM","Norte",0
170100,"Ananás",-6.36437,-48.0735,17,"Tocantins","TO","Norte",0
150080,"Ananindeua",-1.36391,-48.3743,15,"Pará","PA","Norte",0
520110,"Anápolis",-16.3281,-48.953,52,"Goiás","GO","Centro-Oeste",0
150085,"Anapu",-3.46985,-51.2003,15,"Pará","PA","Norte",0
210080,"Anapurus",-3.67577,-43.1014,21,"Maranhão","MA","Nordeste",0
500070,"Anastácio",-20.4823,-55.8104,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
500080,"Anaurilândia",-22.1852,-52.7191,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
320040,"Anchieta",-20.7955,-40.6425,32,"Espírito Santo","ES","Sudeste",0
420080,"Anchieta",-26.5382,-53.3319,42,"Santa Catarina","SC","Sul",0
290130,"Andaraí",-12.8049,-41.3297,29,"Bahia","BA","Nordeste",0
410110,"Andirá",-23.0533,-50.2304,41,"Paraná","PR","Sul",0
290135,"Andorinha",-10.3482,-39.8391,29,"Bahia","BA","Nordeste",0
310260,"Andradas",-22.0695,-46.5724,31,"Minas Gerais","MG","Sudeste",0
350210,"Andradina",-20.8948,-51.3786,35,"São Paulo","SP","Sudeste",0
430066,"André da Rocha",-28.6283,-51.5797,43,"Rio Grande do Sul","RS","Sul",0
310280,"Andrelândia",-21.7411,-44.3117,31,"Minas Gerais","MG","Sudeste",0
350220,"Angatuba",-23.4917,-48.4139,35,"São Paulo","SP","Sudeste",0
310285,"Angelândia",-17.7279,-42.2641,31,"Minas Gerais","MG","Sudeste",0
500085,"Angélica",-22.1527,-53.7708,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
260100,"Angelim",-8.88429,-36.2902,26,"Pernambuco","PE","Nordeste",0
420090,"Angelina",-27.5704,-48.9879,42,"Santa Catarina","SC","Sul",0
290140,"Angical",-12.0063,-44.7003,29,"Bahia","BA","Nordeste",0
220060,"Angical do Piauí",-6.08786,-42.74,22,"Piauí","PI","Nordeste",0
170105,"Angico",-6.39179,-47.8611,17,"Tocantins","TO","Norte",0
240080,"Angicos",-5.65792,-36.6094,24,"Rio Grande do Norte","RN","Nordeste",0
330010,"Angra dos Reis",-23.0011,-44.3196,33,"Rio de Janeiro","RJ","Sudeste",0
290150,"Anguera",-12.1462,-39.2462,29,"Bahia","BA","Nordeste",0
410115,"Ângulo",-23.1946,-51.9154,41,"Paraná","PR","Sul",0
520120,"Anhanguera",-18.3339,-48.2204,52,"Goiás","GO","Centro-Oeste",0
350230,"Anhembi",-22.793,-48.1336,35,"São Paulo","SP","Sudeste",0
350240,"Anhumas",-22.2934,-51.3895,35,"São Paulo","SP","Sudeste",0
520130,"Anicuns",-16.4642,-49.9617,52,"Goiás","GO","Centro-Oeste",0
220070,"Anísio de Abreu",-9.18564,-43.0494,22,"Piauí","PI","Nordeste",0
420100,"Anita Garibaldi",-27.6897,-51.1271,42,"Santa Catarina","SC","Sul",0
420110,"Anitápolis",-27.9012,-49.1316,42,"Santa Catarina","SC","Sul",0
130010,"Anori",-3.74603,-61.6575,13,"Amazonas","AM","Norte",0
430070,"Anta Gorda",-28.9698,-52.0102,43,"Rio Grande do Sul","RS","Sul",0
290160,"Antas",-10.3856,-38.3401,29,"Bahia","BA","Nordeste",0
410120,"Antonina",-25.4386,-48.7191,41,"Paraná","PR","Sul",0
230080,"Antonina do Norte",-6.76919,-39.987,23,"Ceará","CE","Nordeste",0
220080,"Antônio Almeida",-7.21276,-44.1889,22,"Piauí","PI","Nordeste",0
290170,"Antônio Cardoso",-12.4335,-39.1176,29,"Bahia","BA","Nordeste",0
310290,"Antônio Carlos",-21.321,-43.7451,31,"Minas Gerais","MG","Sudeste",0
420120,"Antônio Carlos",-27.5191,-48.766,42,"Santa Catarina","SC","Sul",0
310300,"Antônio Dias",-19.6491,-42.8732,31,"Minas Gerais","MG","Sudeste",0
290180,"Antônio Gonçalves",-10.5767,-40.2785,29,"Bahia","BA","Nordeste",0
500090,"Antônio João",-22.1927,-55.9517,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
240090,"Antônio Martins",-6.21367,-37.8834,24,"Rio Grande do Norte","RN","Nordeste",0
410130,"Antônio Olinto",-25.9804,-50.1972,41,"Paraná","PR","Sul",0
430080,"Antônio Prado",-28.8565,-51.2883,43,"Rio Grande do Sul","RS","Sul",0
310310,"Antônio Prado de Minas",-21.0192,-42.1109,31,"Minas Gerais","MG","Sudeste",0
250077,"Aparecida",-6.78466,-38.0803,25,"Paraíba","PB","Nordeste",0
350250,"Aparecida",-22.8495,-45.2325,35,"São Paulo","SP","Sudeste",0
350260,"Aparecida d'Oeste",-20.4487,-50.8835,35,"São Paulo","SP","Sudeste",0
520140,"Aparecida de Goiânia",-16.8198,-49.2469,52,"Goiás","GO","Centro-Oeste",0
520145,"Aparecida do Rio Doce",-18.2941,-51.1516,52,"Goiás","GO","Centro-Oeste",0
170110,"Aparecida do Rio Negro",-9.94139,-47.9638,17,"Tocantins","TO","Norte",0
500100,"Aparecida do Taboado",-20.0873,-51.0961,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
330015,"Aperibé",-21.6252,-42.1017,33,"Rio de Janeiro","RJ","Sudeste",0
320050,"Apiacá",-21.1523,-41.5693,32,"Espírito Santo","ES","Sudeste",0
510080,"Apiacás",-9.53981,-57.4587,51,"Mato Grosso","MT","Centro-Oeste",0
350270,"Apiaí",-24.5108,-48.8443,35,"São Paulo","SP","Sudeste",0
210083,"Apicum-Açu",-1.45862,-45.0864,21,"Maranhão","MA","Nordeste",0
420125,"Apiúna",-27.0375,-49.3885,42,"Santa Catarina","SC","Sul",0
240100,"Apodi",-5.65349,-37.7946,24,"Rio Grande do Norte","RN","Nordeste",0
290190,"Aporá",-11.6577,-38.0814,29,"Bahia","BA","Nordeste",0
520150,"Aporé",-18.9607,-51.9232,52,"Goiás","GO","Centro-Oeste",0
290195,"Apuarema",-13.8542,-39.7501,29,"Bahia","BA","Nordeste",0
410140,"Apucarana",-23.55,-51.4635,41,"Paraná","PR","Sul",0
130014,"Apuí",-7.19409,-59.896,13,"Amazonas","AM","Norte",0
230090,"Apuiarés",-3.94506,-39.4359,23,"Ceará","CE","Nordeste",0
280020,"Aquidabã",-10.278,-37.0148,28,"Sergipe","SE","Nordeste",0
500110,"Aquidauana",-20.4666,-55.7868,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
230100,"Aquiraz",-3.89929,-38.3896,23,"Ceará","CE","Nordeste",0
420127,"Arabutã",-27.1587,-52.1423,42,"Santa Catarina","SC","Sul",0
250080,"Araçagi",-6.84374,-35.3737,25,"Paraíba","PB","Nordeste",0
310320,"Araçaí",-19.1955,-44.2493,31,"Minas Gerais","MG","Sudeste",0
280030,"Aracaju",-10.9091,-37.0677,28,"Sergipe","SE","Nordeste",1
350275,"Araçariguama",-23.4366,-47.0608,35,"São Paulo","SP","Sudeste",0
290205,"Araças",-12.22,-38.2027,29,"Bahia","BA","Nordeste",0
230110,"Aracati",-4.55826,-37.7679,23,"Ceará","CE","Nordeste",0
290200,"Aracatu",-14.428,-41.4648,29,"Bahia","BA","Nordeste",0
350280,"Araçatuba",-21.2076,-50.4401,35,"São Paulo","SP","Sudeste",0
290210,"Araci",-11.3253,-38.9584,29,"Bahia","BA","Nordeste",0
310330,"Aracitaba",-21.3446,-43.3736,31,"Minas Gerais","MG","Sudeste",0
230120,"Aracoiaba",-4.36872,-38.8125,23,"Ceará","CE","Nordeste",0
260105,"Araçoiaba",-7.78391,-35.0809,26,"Pernambuco","PE","Nordeste",0
350290,"Araçoiaba da Serra",-23.5029,-47.6166,35,"São Paulo","SP","Sudeste",0
320060,"Aracruz",-19.82,-40.2764,32,"Espírito Santo","ES","Sudeste",0
520160,"Araçu",-16.3563,-49.6804,52,"Goiás","GO","Centro-Oeste",0
310340,"Araçuaí",-16.8523,-42.0637,31,"Minas Gerais","MG","Sudeste",0
520170,"Aragarças",-15.8955,-52.2372,52,"Goiás","GO","Centro-Oeste",0
520180,"Aragoiânia",-16.9087,-49.4476,52,"Goiás","GO","Centro-Oeste",0
170130,"Aragominas",-7.16005,-48.5291,17,"Tocantins","TO","Norte",0
170190,"Araguacema",-8.80755,-49.5569,17,"Tocantins","TO","Norte",0
170200,"Araguaçu",-12.9289,-49.8231,17,"Tocantins","TO","Norte",0
510100,"Araguaiana",-15.7291,-51.8341,51,"Mato Grosso","MT","Centro-Oeste",0
170210,"Araguaína",-7.19238,-48.2044,17,"Tocantins","TO","Norte",0
510120,"Araguainha",-16.857,-53.0318,51,"Mato Grosso","MT","Centro-Oeste",0
170215,"Araguanã",-6.58225,-48.6395,17,"Tocantins","TO","Norte",0
